Id,Price
725,158380.37156929914
15856,229120.36567124102
5480,196974.507688595
15664,295373.87883519835
14275,127498.62281029321
7633,172209.90162934444
13329,219996.41293702822
5502,243625.2253745388
4220,341179.0927494249
11538,251899.1070078933
15975,302105.61410894734
3310,228579.28316179023
9286,101546.16952140705
11260,185322.88179254174
5214,103104.50219507942
11307,153935.59054203305
13543,317760.69475857704
615,170682.78204977553
3495,239359.07208745187
2321,254314.7413904456
12046,169048.3808850335
16688,107265.5248639681
12694,231799.108379671
783,110376.60989375478
8968,191945.90273660852
13454,162957.736754081
12190,260364.2736734625
11160,150944.3949428469
10291,213061.88659882743
891,307238.25267782004
2982,175366.4020703171
3818,284137.9328326917
2449,167088.5372273826
8317,107735.75917985024
4922,184172.83579342288
1257,236897.09149117387
9348,263287.7941897926
4176,164253.76313235916
10704,187968.96200288372
6624,151504.94229185465
5428,177377.75489983126
12749,198343.98885212696
8994,225073.03199421012
11513,107257.59841169124
3047,174043.77762694293
9519,254244.27908413683
12309,175353.40495420777
14081,273410.49807184405
8334,268711.8072892287
6343,193047.17784200472
14788,89234.92526166608
15748,364972.29100839613
153,250417.15964598334
14149,210647.42769958265
269,163023.79761680381
5452,167778.67523189652
721,145556.25736800453
5079,296770.2408792138
2831,130660.9570752234
10614,111773.31146528116
10131,270633.1838200451
9996,317421.2181636182
3061,251951.52818503685
11733,305842.1239080286
3726,239487.25431263173
10929,216200.6820899306
9011,149816.79498469242
16182,260070.7272887606
4976,167504.34756629547
9897,219029.76918338038
1872,218990.87502136594
9205,305054.14748095215
5403,396863.6113536254
14074,197087.75487388446
6268,131292.3525823562
14232,225608.40991864295
8532,252723.31634683246
7034,258412.64491789768
6553,324936.2864817665
3133,136272.77265966276
8596,193856.51559740084
12389,253748.8014115576
14462,169677.5786208725
8860,278951.33907880174
8377,273533.2508714246
6367,318868.7752749698
6917,257850.32037438249
4216,162137.65189615238
5806,159528.43063292518
5438,172097.78721706464
6632,208385.8207385551
2650,147407.40811767004
5396,203421.62856340452
4044,149872.51773506362
1345,214474.10898492613
856,186628.1689888996
12791,224994.03725796935
12499,228873.46379275082
12249,113487.93089421152
14641,194403.0325379891
1919,166044.9089999502
7848,179502.91979031436
10749,159228.4718002087
15554,250671.17352500197
15834,214269.8202722177
1355,223656.6636461874
15451,147977.048329613
12401,277296.8678168729
10290,180790.67562414735
9462,157360.42750658255
3103,235792.91098843992
3420,100829.68235173193
12262,237876.5458957008
5032,173040.62913956455
8949,298939.8501646759
15567,210238.8626692186
16389,118493.49944651707
7809,152969.41000170104
8990,202978.81085703985
16089,258069.08597859746
12743,113058.29664001426
5132,106882.02895300431
1619,253359.93166607758
2428,91493.68227418167
16741,171402.53465733473
13193,231082.49467741992
12588,321519.8799479084
5067,134710.37699737313
14685,109818.79528546207
2292,163938.9144382769
5746,131313.9442315029
12578,201461.34317998707
14834,203097.6473318434
2147,197421.43118459554
8222,120072.37296522588
10419,310641.11661793775
11492,248678.71886552306
3006,232617.93535316677
8761,231045.49790736075
15371,353672.3290904531
16367,203937.07144262304
6317,257743.86998568775
10878,240179.855262706
3895,169433.5629602553
8041,181937.4688905176
13428,352839.6244215179
14669,167032.05046788356
1006,210515.6564858641
12271,163991.91801178458
3764,397882.09587201854
7675,193010.81165956915
11709,227324.93915726777
8629,141770.83521707103
1105,222402.60999857038
6096,144328.94955457753
11727,225758.8713325597
5157,263853.0166826042
3679,178726.11353093752
1755,164752.5750049134
7391,169747.5417692603
7425,141744.86078106728
6882,313542.8870685278
10752,322830.5502267497
7472,241345.15153139998
14320,111872.60690170732
9596,150484.9869834919
5317,204424.66453154135
7378,118116.87791608226
16154,179475.57397428612
3464,200940.59730983598
4197,239075.26219567246
9477,125140.30443699105
12705,219291.16182318993
16426,201359.0523061926
1481,97190.9147433293
9946,256396.30728463386
12025,182309.56772865428
5341,250995.58813571295
9923,332494.43517951365
7953,239025.80565656486
11066,293601.71511716594
5037,164903.23391599956
2509,237165.61909385913
4937,340004.1899620276
12089,347116.80599702185
4964,185187.69565037912
16500,232651.20766484633
